price,room_type,neighbourhood_group,average_price,average_minimum_nights,total_number_of_reviews,average_reviews_per_month
32,Shared room,Manhattan,32.0,1.0,32,0.83
32,Shared room,Queens,32.0,2.3333333333333335,35,0.91
33,Entire home/apt,Brooklyn,33.0,1.0,29,4.75
33,Private room,Bronx,33.0,3.5,207,1.2325
33,Private room,Brooklyn,33.0,2.3157894736842106,1078,1.81
33,Private room,Manhattan,33.0,3.3333333333333335,13,0.19666666666666668
33,Private room,Queens,33.0,2.4,413,2.1239999999999997
33,Private room,Staten Island,33.0,3.8,133,1.3039999999999998
33,Shared room,Bronx,33.0,2.0,8,0.71
33,Shared room,Brooklyn,33.0,1.0,106,2.155
33,Shared room,Queens,33.0,1.0,11,0.46
34,Entire home/apt,Brooklyn,34.0,2.0,93,4.07
34,Private room,Bronx,34.0,2.1666666666666665,152,1.6483333333333332
34,Private room,Brooklyn,34.0,2.857142857142857,458,1.6600000000000001
34,Private room,Manhattan,34.0,1.6,26,0.666
34,Private room,Queens,34.0,1.5714285714285714,262,1.3800000000000001
34,Private room,Staten Island,34.0,3.3333333333333335,157,1.065
34,Shared room,Brooklyn,34.0,2.0,83,3.42
34,Shared room,Manhattan,34.0,1.0,17,2.33
34,Shared room,Queens,34.0,2.0,61,1.3625
35,Entire home/apt,Bronx,35.0,2.0,18,5.35
35,Entire home/apt,Brooklyn,35.0,3.0,63,1.33
35,Entire home/apt,Manhattan,35.0,1.0,33,6.56
35,Entire home/apt,Queens,35.0,1.0,63,8.44
35,Private room,Bronx,35.0,2.1724137931034484,663,2.273103448275862
35,Private room,Brooklyn,35.0,2.7642857142857142,2650,1.1904285714285714
35,Private room,Manhattan,35.0,2.44,374,1.494
35,Private room,Queens,35.0,2.156862745098039,1992,2.4580392156862745
35,Private room,Staten Island,35.0,2.857142857142857,172,1.8514285714285712
35,Shared room,Bronx,35.0,1.0,3,0.94
35,Shared room,Brooklyn,35.0,2.176470588235294,585,1.2758823529411765
35,Shared room,Manhattan,35.0,1.3333333333333333,446,2.191111111111111
35,Shared room,Queens,35.0,2.3333333333333335,182,2.0
36,Private room,Bronx,36.0,1.6666666666666667,13,2.6966666666666668
36,Private room,Brooklyn,36.0,2.6363636363636362,703,0.933939393939394
36,Private room,Manhattan,36.0,2.375,63,0.24000000000000002
36,Private room,Queens,36.0,1.4285714285714286,219,1.9985714285714287
36,Private room,Staten Island,36.0,2.0,544,2.236666666666667
36,Shared room,Brooklyn,36.0,1.6666666666666667,84,1.2683333333333333
36,Shared room,Manhattan,36.0,1.0,104,1.3649999999999998
36,Shared room,Queens,36.0,1.0,10,2.36
37,Entire home/apt,Bronx,37.0,5.0,10,0.25
37,Entire home/apt,Brooklyn,37.0,4.0,2,0.13
37,Private room,Bronx,37.0,1.8,213,2.0799999999999996
37,Private room,Brooklyn,37.0,2.735294117647059,959,1.441470588235294
37,Private room,Manhattan,37.0,4.0,21,0.3975
37,Private room,Queens,37.0,2.0714285714285716,602,1.6521428571428571
37,Private room,Staten Island,37.0,1.8,409,2.064
37,Shared room,Brooklyn,37.0,1.4285714285714286,86,1.0442857142857143
37,Shared room,Queens,37.0,1.0,84,0.735
38,Entire home/apt,Brooklyn,38.0,4.0,5,0.27
38,Private room,Bronx,38.0,2.2857142857142856,303,1.1142857142857143
38,Private room,Brooklyn,38.0,2.9245283018867925,1074,1.0141509433962264
38,Private room,Manhattan,38.0,4.285714285714286,75,0.7457142857142857
38,Private room,Queens,38.0,2.25,882,2.3108333333333335
38,Shared room,Brooklyn,38.0,1.6363636363636365,382,1.469090909090909
38,Shared room,Queens,38.0,1.0,351,4.8149999999999995
39,Entire home/apt,Queens,39.0,1.5,115,2.06
39,Private room,Bronx,39.0,2.0,343,2.315
39,Private room,Brooklyn,39.0,2.5076923076923077,2264,1.331076923076923
39,Private room,Manhattan,39.0,2.933333333333333,339,1.0113333333333334
39,Private room,Queens,39.0,1.7826086956521738,862,2.7630434782608693
39,Private room,Staten Island,39.0,1.0,29,1.81
39,Shared room,Brooklyn,39.0,2.1666666666666665,58,0.9633333333333334
39,Shared room,Manhattan,39.0,1.8888888888888888,113,0.9988888888888889
39,Shared room,Queens,39.0,1.25,593,6.74
40,Entire home/apt,Bronx,40.0,3.0,99,2.34
40,Entire home/apt,Brooklyn,40.0,1.6,132,1.046
40,Entire home/apt,Manhattan,40.0,2.0,3,0.04
40,Entire home/apt,Queens,40.0,3.3333333333333335,184,1.96
40,Private room,Bronx,40.0,2.28125,1143,1.7928125
40,Private room,Brooklyn,40.0,2.793103448275862,4540,1.1685823754789273
40,Private room,Manhattan,40.0,3.0757575757575757,1125,0.7860606060606061
40,Private room,Queens,40.0,2.0841121495327104,3705,1.7397196261682244
40,Private room,Staten Island,40.0,2.0,434,2.939
40,Shared room,Bronx,40.0,1.0,28,1.0250000000000001
40,Shared room,Brooklyn,40.0,2.3125,217,0.903125
40,Shared room,Manhattan,40.0,1.2857142857142858,394,1.4928571428571427
40,Shared room,Queens,40.0,1.5833333333333333,243,2.3833333333333333
41,Entire home/apt,Brooklyn,41.0,3.0,1,0.05
41,Private room,Bronx,41.0,4.333333333333333,115,0.6533333333333333
41,Private room,Brooklyn,41.0,2.58974358974359,630,0.8053846153846154
41,Private room,Manhattan,41.0,1.5,181,2.2249999999999996
41,Private room,Queens,41.0,1.6666666666666667,260,2.65
41,Private room,Staten Island,41.0,2.0,7,0.71
41,Shared room,Brooklyn,41.0,2.0,4,1.64
41,Shared room,Manhattan,41.0,1.0,1,0.02
41,Shared room,Queens,41.0,1.0,20,0.76
42,Entire home/apt,Bronx,42.0,1.5,50,2.88
42,Private room,Bronx,42.0,2.8333333333333335,420,1.5291666666666668
42,Private room,Brooklyn,42.0,3.1923076923076925,1285,1.3751923076923078
42,Private room,Manhattan,42.0,2.909090909090909,366,1.8372727272727274
42,Private room,Queens,42.0,2.7037037037037037,386,1.9651851851851854
42,Shared room,Brooklyn,42.0,1.6666666666666667,22,0.48
42,Shared room,Manhattan,42.0,1.3333333333333333,101,1.5766666666666669
42,Shared room,Queens,42.0,1.0,54,3.48
43,Entire home/apt,Brooklyn,43.0,3.0,7,0.38
43,Private room,Bronx,43.0,2.75,128,1.1075
43,Private room,Brooklyn,43.0,2.097560975609756,1322,1.4778048780487805
43,Private room,Manhattan,43.0,3.0,254,0.783076923076923
43,Private room,Queens,43.0,1.9166666666666667,498,1.8216666666666665
43,Private room,Staten Island,43.0,1.0,37,1.56
43,Shared room,Brooklyn,43.0,3.0,32,1.86
43,Shared room,Manhattan,43.0,2.0,2,1.43
43,Shared room,Queens,43.0,1.0,9,0.53
44,Entire home/apt,Brooklyn,44.0,1.0,9,0.77
44,Entire home/apt,Queens,44.0,1.0,20,2.615
44,Private room,Bronx,44.0,2.0,135,2.13
44,Private room,Brooklyn,44.0,2.8846153846153846,1132,1.2475
44,Private room,Manhattan,44.0,2.6363636363636362,302,0.7554545454545455
44,Private room,Queens,44.0,2.5714285714285716,582,2.8128571428571427
44,Shared room,Brooklyn,44.0,3.5,182,1.325
44,Shared room,Manhattan,44.0,1.3333333333333333,77,2.0
45,Entire home/apt,Brooklyn,45.0,3.0,180,0.8133333333333334
45,Entire home/apt,Manhattan,45.0,1.5,8,0.06999999999999999
45,Entire home/apt,Queens,45.0,2.25,228,4.85
45,Private room,Bronx,45.0,2.1666666666666665,1022,1.7956666666666665
45,Private room,Brooklyn,45.0,2.5384615384615383,7046,1.0882051282051282
45,Private room,Manhattan,45.0,2.625,1621,1.151625
45,Private room,Queens,45.0,2.216417910447761,6626,2.5886567164179106
45,Private room,Staten Island,45.0,2.0,47,1.89
45,Shared room,Bronx,45.0,1.0,8,0.255
45,Shared room,Brooklyn,45.0,1.8666666666666667,355,0.6893333333333334
45,Shared room,Manhattan,45.0,1.5833333333333333,652,2.6291666666666664
45,Shared room,Queens,45.0,1.6666666666666667,127,0.7333333333333334
46,Entire home/apt,Brooklyn,46.0,1.0,58,2.29
46,Entire home/apt,Queens,46.0,1.0,18,1.96
46,Private room,Bronx,46.0,2.3333333333333335,114,2.5566666666666666
46,Private room,Brooklyn,46.0,2.769230769230769,891,1.0492307692307692
46,Private room,Manhattan,46.0,2.4615384615384617,107,0.5853846153846154
46,Private room,Queens,46.0,1.9375,967,1.993125
46,Private room,Staten Island,46.0,1.0,21,1.03
46,Shared room,Brooklyn,46.0,1.0,22,0.58
47,Private room,Bronx,47.0,2.3333333333333335,608,1.865
47,Private room,Brooklyn,47.0,2.5,1354,1.0802
47,Private room,Manhattan,47.0,2.9411764705882355,414,1.4564705882352942
47,Private room,Queens,47.0,2.0833333333333335,2057,2.57
47,Private room,Staten Island,47.0,1.5,33,0.61
47,Shared room,Brooklyn,47.0,1.5,19,0.98
47,Shared room,Manhattan,47.0,1.0,2,0.04
48,Entire home/apt,Brooklyn,48.0,3.0,83,3.62
48,Entire home/apt,Queens,48.0,1.0,8,6.32
48,Entire home/apt,Staten Island,48.0,3.0,1,0.08
48,Private room,Bronx,48.0,2.0,51,2.605
48,Private room,Brooklyn,48.0,2.3972602739726026,1970,2.0115068493150687
48,Private room,Manhattan,48.0,2.5384615384615383,125,0.5907692307692307
48,Private room,Queens,48.0,1.7894736842105263,2577,3.341578947368421
48,Private room,Staten Island,48.0,2.0,112,2.6
48,Shared room,Brooklyn,48.0,1.0,205,1.7349999999999999
48,Shared room,Queens,48.0,2.0,21,1.02
49,Entire home/apt,Bronx,49.0,2.0,189,2.32
49,Entire home/apt,Brooklyn,49.0,3.125,229,1.65625
49,Entire home/apt,Manhattan,49.0,4.0,137,3.88
49,Entire home/apt,Queens,49.0,2.75,595,4.975
49,Entire home/apt,Staten Island,49.0,1.0,43,1.67
49,Private room,Bronx,49.0,2.230769230769231,414,1.2476923076923077
49,Private room,Brooklyn,49.0,2.36,4188,1.5515999999999999
49,Private room,Manhattan,49.0,2.3529411764705883,2504,1.6158823529411763
49,Private room,Queens,49.0,2.072463768115942,1617,1.808695652173913
49,Private room,Staten Island,49.0,1.6666666666666667,353,1.8333333333333333
49,Shared room,Bronx,49.0,1.0,2,0.94
49,Shared room,Brooklyn,49.0,2.0,32,1.67
49,Shared room,Manhattan,49.0,1.9375,824,3.2824999999999998
49,Shared room,Queens,49.0,1.0,3,0.94
50,Entire home/apt,Bronx,50.0,2.0,10,1.57
50,Entire home/apt,Brooklyn,50.0,3.24,413,0.85
50,Entire home/apt,Manhattan,50.0,2.6153846153846154,337,1.3138461538461539
50,Entire home/apt,Queens,50.0,1.7142857142857142,692,3.1157142857142857
50,Private room,Bronx,50.0,2.1136363636363638,1545,1.8993181818181817
50,Private room,Brooklyn,50.0,2.636893203883495,10466,1.190116504854369
50,Private room,Manhattan,50.0,2.5,4373,1.2797222222222222
50,Private room,Queens,50.0,1.956140350877193,8432,2.3781578947368422
50,Private room,Staten Island,50.0,1.3333333333333333,297,2.089166666666667
50,Shared room,Bronx,50.0,1.0,15,1.4
50,Shared room,Brooklyn,50.0,2.25,378,0.98375
50,Shared room,Manhattan,50.0,1.0909090909090908,443,2.01
50,Shared room,Queens,50.0,1.0,35,0.8700000000000001
51,Entire home/apt,Manhattan,51.0,1.0,4,0.15
51,Entire home/apt,Queens,51.0,4.0,7,0.605
51,Entire home/apt,Staten Island,51.0,4.0,29,0.97
51,Private room,Bronx,51.0,2.3333333333333335,155,2.533333333333333
51,Private room,Brooklyn,51.0,1.911764705882353,747,1.4952941176470589
51,Private room,Manhattan,51.0,2.7857142857142856,184,0.8371428571428571
